TPK.L	Travis Perkins plc	1,349.82 15:54	Down 42.18 (3.03%)	844,752
TSCO.L	Tesco PLC	209.45 15:54	Down 1.20 (0.57%)	11,336,991
TUI.L	TUI AG	1,032.00 15:54	Down 13.00 (1.24%)	417,834
TW.L	Taylor Wimpey plc	142.50 15:54	Down 1.20 (0.84%)	6,033,305
ULVR.L	Unilever PLC	3,490.00 15:54	Up 18.50 (0.53%)	1,416,551
UU.L	United Utilities Group PLC	936.50 15:53	Up 3.50 (0.38%)	613,138
VOD.L	Vodafone Group Plc	226.45 15:54	Up 3.05 (1.37%)	46,458,300
WOS.L	Wolseley plc	4,438.00 15:53	Down 24.00 (0.54%)	323,762
WPG.L	Worldpay Group plc	281.60 15:54	Down 1.70 (0.60%)	2,218,010
WPP.L	WPP plc	1,705.00 15:54	Down 16.00 (0.93%)	3,253,085
WTB.L	Whitbread PLC	3,700.00 15:54	Down 143.00 (3.72%)	1,169,741
